age,annual_income,credit_score,loan_amount,employment_years,debt_to_income,default
61,62325,647,23115,13.6,0.473,1
42,47734,779,22023,18.3,0.151,0
63,97731,730,31403,10.6,0.588,0
20,71038,681,22236,14.5,0.43,1
28,61516,645,10598,5.9,0.325,1
46,66815,648,49827,4.7,0.471,0
28,76694,705,50161,11.3,0.16,1
37,88504,724,82417,5.3,0.265,1
56,40009,612,30297,9.9,0.473,1
26,38752,683,51514,0.6,0.076,0
57,103140,528,51880,1.8,0.367,1
23,57630,696,39416,12.4,0.364,0
28,27495,737,61375,14.2,0.536,0
52,83314,659,62055,1.1,0.11,1
64,83901,816,52203,12.7,0.493,1
27,24079,614,39376,4.3,0.233,1
35,76884,696,37134,8.1,0.246,0
71,92067,677,14909,17.9,0.153,1
75,81232,672,27270,13.7,0.169,1
51,88959,671,31316,13.6,0.348,0
43,27872,688,20273,21.4,0.167,1
38,79931,744,54678,3.1,0.389,1
53,60921,783,71326,1.1,0.22,0
52,55516,680,25023,2.9,0.154,1
35,96117,741,51236,6.2,0.237,1
19,114378,627,22250,0.0,0.34,1
26,123831,737,38292,6.5,0.267,1
73,109444,623,29813,4.2,0.304,1
42,66708,762,58242,13.5,0.384,1
45,80582,846,30067,10.5,0.43,0
45,93005,671,67257,3.8,0.263,1
63,73635,516,39594,12.1,0.175,1
21,73923,639,30709,13.1,0.309,1
22,94713,772,17427,2.6,0.356,0
33,68222,721,50570,4.5,0.125,1
46,48121,699,64695,0.0,0.193,1
56,57566,756,51013,0.4,0.214,1
46,89017,716,94254,2.8,0.275,1
43,70090,771,76455,8.5,0.209,1
72,80206,749,38234,1.4,0.385,1
27,90102,794,38003,4.4,0.107,0
51,58755,707,55333,0.0,0.11,1
49,92687,748,26564,9.2,0.26,0
45,81365,657,70658,11.0,0.279,1
64,32956,635,52955,10.8,0.125,1
33,113269,808,50642,8.1,0.227,1
73,54978,696,60113,0.0,0.252,1
37,20347,740,82902,3.7,0.253,1
49,38649,689,48761,5.1,0.318,1
48,39369,636,42513,5.2,0.221,1
67,71565,681,78192,8.5,0.477,1
43,61784,788,66286,18.0,0.359,0
34,59895,722,37938,13.7,0.203,1
19,88591,552,45114,1.1,0.311,1
39,80196,664,49298,12.7,0.315,1
65,79481,814,52960,12.5,0.446,1
18,82295,664,15155,2.4,0.228,0
69,88484,545,11065,13.9,0.392,1
49,20000,822,25477,6.9,0.305,1
26,59067,731,23776,0.0,0.479,0
35,20000,675,30836,11.2,0.455,1
50,71082,652,58964,9.5,0.324,1
36,69861,761,41284,6.4,0.269,0
24,101366,639,49321,7.7,0.361,1
56,105629,766,18065,3.0,0.278,0
56,76083,721,34844,12.3,0.502,1
24,54989,698,57920,7.7,0.309,1
34,84555,691,58089,9.2,0.251,0
32,54162,667,29059,10.5,0.245,1
56,69958,758,48557,0.0,0.154,1
60,99584,615,93375,1.7,0.367,1
60,53267,558,44613,0.0,0.202,1
72,94170,726,29750,12.0,0.432,0
62,90322,727,41177,0.0,0.145,1
36,41356,716,47028,8.9,0.315,0
24,99217,711,41674,10.6,0.438,1
53,90957,656,44310,12.2,0.05,0
71,73058,739,13244,0.0,0.542,1
74,47130,677,23822,7.5,0.249,1
31,44224,643,41715,19.7,0.317,1
31,53870,657,41364,20.0,0.369,0
20,86278,832,32544,14.9,0.387,1
26,41331,550,41106,10.4,0.333,1
50,83125,717,46342,1.0,0.42,0
49,32747,554,64567,13.0,0.362,1
39,63878,672,42817,6.9,0.511,0
35,73289,647,53780,11.9,0.363,0
66,143354,524,33085,3.6,0.536,1
44,28681,709,57586,6.8,0.408,1
64,114160,651,53266,9.1,0.083,1
73,74495,523,64048,9.7,0.613,1
36,82335,743,60696,11.5,0.231,1
29,73550,788,57952,3.9,0.479,1
73,83342,792,42835,0.0,0.303,1
54,65389,707,50389,19.4,0.427,1
34,113622,683,68397,25.4,0.217,1
54,56306,780,30654,11.1,0.375,1
47,103967,806,31175,0.0,0.27,0
70,50669,765,48991,2.6,0.489,1
32,68192,609,54136,11.6,0.353,1
75,37841,695,26870,17.4,0.412,0
72,83651,713,43355,0.0,0.05,1
28,113354,544,42932,7.1,0.29,1
27,67679,715,5000,9.4,0.349,1
48,64093,850,40169,14.1,0.327,1
20,36561,728,41539,5.6,0.415,0
35,63121,791,41474,0.0,0.256,1
43,22216,694,76150,12.3,0.306,1
74,42614,675,18252,15.9,0.442,1
75,76804,709,26858,7.4,0.05,1
26,109570,619,5000,10.8,0.371,0
69,154276,608,34420,4.7,0.26,0
23,52402,775,36296,2.1,0.191,0
61,113059,783,33781,15.2,0.34,0
67,77313,606,69369,10.7,0.447,1
69,65463,753,63934,11.4,0.425,0
30,82978,673,46713,18.5,0.284,1
69,71857,705,36847,0.6,0.405,0
24,73312,715,67576,4.1,0.404,1
48,57750,755,44565,9.1,0.29,0
45,28057,686,26998,4.0,0.217,1
36,23691,786,7243,13.5,0.224,0
19,89597,703,35291,6.7,0.401,0
62,61699,727,61602,1.1,0.295,0
37,52117,618,95084,8.5,0.174,1
56,70255,842,46355,9.2,0.098,0
41,93848,715,28162,14.5,0.4,0
39,75411,733,18931,10.8,0.234,1
69,50318,559,57143,11.2,0.34,1
23,106789,618,6178,10.2,0.449,1
60,117376,773,57108,6.7,0.143,1
61,84837,702,62990,3.0,0.295,1
40,99210,536,54598,10.0,0.28,1
33,107259,758,40167,5.7,0.346,0
18,103903,639,57429,19.8,0.449,1
72,88423,786,48761,17.4,0.14,0
72,87950,673,27881,12.4,0.368,1
31,85590,695,85709,10.6,0.424,0
19,37080,768,37263,7.4,0.278,1
25,91022,613,62067,0.0,0.284,1
21,29326,606,5000,6.5,0.35,1
66,46162,665,73082,8.7,0.341,0
69,109107,742,77313,9.6,0.37,0
26,95207,580,45656,11.3,0.367,1
61,114622,555,57293,14.4,0.182,0
28,61850,742,57287,3.2,0.419,1
39,35433,635,30859,3.2,0.44,0
52,62787,651,57037,18.2,0.322,0
59,73061,541,27210,13.4,0.121,1
68,72370,629,31607,5.3,0.286,0
20,104010,679,69793,7.2,0.323,0
29,59162,750,66442,7.3,0.163,0
34,80561,622,29460,8.2,0.257,0
35,40341,804,28861,11.3,0.131,0
75,83510,629,30797,25.7,0.373,1
63,70093,629,61118,9.3,0.32,1
36,47506,795,23000,12.6,0.103,1
74,62925,696,52848,0.0,0.342,0
46,64475,639,61431,4.6,0.293,0
47,61895,668,43059,16.6,0.362,1
43,123140,781,67221,10.8,0.253,1
26,67047,790,38305,0.0,0.204,0
72,62683,619,40295,12.7,0.207,0
18,20000,677,23501,21.4,0.235,1
28,43174,687,67378,0.0,0.302,1
31,62108,606,28137,18.6,0.318,1
34,49424,676,52695,0.0,0.277,1
25,111451,680,43431,14.6,0.249,1
19,65052,766,21839,7.9,0.258,0
57,108653,771,31600,0.0,0.601,0
74,71851,655,75423,11.1,0.208,1
25,71117,664,49436,16.1,0.233,1
35,67336,730,22799,10.5,0.695,0
47,70114,636,51717,12.1,0.351,1
71,121564,724,41785,5.1,0.134,1
58,20000,673,120989,0.0,0.401,1
62,20000,607,51273,12.8,0.191,1
51,53705,608,36626,20.2,0.409,1
42,70436,789,76241,15.9,0.275,1
29,90703,668,5000,0.0,0.247,0
68,84193,803,47075,0.0,0.493,1
64,58473,641,88877,2.1,0.368,1
19,100571,702,42444,0.0,0.417,0
59,100906,850,6867,8.3,0.352,0
22,75522,601,36290,10.8,0.247,1
60,98880,538,76999,0.0,0.373,1
65,78179,776,53274,13.4,0.445,0
25,53156,618,26545,12.2,0.316,1
43,90935,678,29925,4.2,0.516,1
25,73318,636,32687,6.8,0.402,0
50,70040,700,52946,0.0,0.325,0
71,114189,609,74440,5.7,0.33,1
22,20000,667,68153,8.1,0.316,1
41,27469,714,55032,9.2,0.15,1
74,34388,604,15704,10.7,0.289,1
35,59102,627,15785,9.7,0.327,0
25,62362,654,56732,6.1,0.25,1
46,24780,573,15400,10.0,0.341,1
47,40445,648,40038,15.0,0.303,1
56,44175,689,51691,7.3,0.393,1
36,143723,650,19973,10.2,0.38,1
73,124052,660,22466,6.7,0.32,1
48,57648,679,42929,3.5,0.136,1
34,59093,631,56080,11.7,0.515,1
73,35524,732,68353,4.1,0.283,0
71,20000,788,58355,10.7,0.29,1
46,66494,645,46620,8.2,0.259,1
19,40064,716,28584,5.9,0.241,1
52,67454,662,21440,5.7,0.485,1
50,21994,707,33761,4.4,0.466,0
26,47141,797,54019,0.0,0.353,1
54,74459,718,52406,10.7,0.287,1
66,80986,547,5000,9.6,0.374,1
24,82524,714,27715,13.9,0.309,0
59,30385,772,71499,4.3,0.277,0
26,95641,663,46743,21.3,0.341,1
61,45994,755,13826,5.3,0.247,0
42,88986,628,96828,1.9,0.33,1
18,69681,569,44363,1.0,0.325,1
74,28708,691,53455,0.0,0.372,1
27,60514,548,53790,18.7,0.226,1
52,80961,662,36913,17.6,0.385,0
28,88389,777,28993,12.2,0.191,0
72,65770,537,91677,1.7,0.231,1
60,115953,584,67071,20.7,0.237,1
64,100225,603,63083,5.5,0.171,1
43,62300,675,57678,6.1,0.422,1
45,92504,653,22927,18.1,0.184,1
54,128014,785,73106,12.6,0.216,0
63,128815,752,26451,23.4,0.451,0
67,33160,717,51232,9.7,0.232,1
19,42204,691,8933,5.2,0.277,1
56,114548,709,5000,3.7,0.179,1
24,38252,615,52002,0.0,0.4,1
34,30324,744,27200,6.0,0.402,0
66,55414,597,5000,16.0,0.389,1
32,82607,743,56893,12.2,0.365,1
64,66928,769,91642,8.1,0.309,0
44,50483,696,75570,1.0,0.237,1
31,49774,667,39339,9.6,0.202,1
37,48630,710,45195,15.1,0.455,0
48,43615,465,64530,11.0,0.392,1
62,138449,703,69687,9.2,0.217,1
53,78925,671,37442,2.4,0.305,1
72,96603,676,45752,14.1,0.264,1
68,55328,733,51614,0.0,0.165,1
61,64421,674,57185,10.7,0.321,1
52,48593,594,42072,26.0,0.25,1
34,20000,669,42358,0.0,0.186,1
41,28660,685,75356,6.3,0.123,1
24,20000,689,71609,7.9,0.112,1
39,20000,692,55503,4.8,0.255,0
71,34139,758,82820,15.3,0.29,0
42,109749,599,36498,11.3,0.195,1
24,68667,693,80705,9.1,0.378,1
55,108717,777,56935,13.6,0.292,0
73,82329,550,116963,8.1,0.369,1
68,93477,693,18765,30.3,0.278,1
33,42973,636,29834,9.1,0.206,1
44,85719,652,54214,9.4,0.314,1
48,91861,612,53739,0.0,0.148,0
32,52701,667,87903,4.2,0.365,1
33,86786,818,30296,16.0,0.188,0
31,86986,585,64908,0.0,0.41,1
75,53513,592,70574,0.0,0.259,1
61,36317,582,60502,8.2,0.428,1
66,34476,810,23858,17.6,0.165,1
65,72595,645,75971,8.3,0.219,1
73,79810,678,72045,5.6,0.346,0
24,46224,650,58191,0.0,0.44,1
69,70798,609,49496,11.2,0.5,1
21,87116,662,49974,12.6,0.305,1
45,88546,850,43268,0.0,0.521,1
52,116556,784,59097,15.9,0.265,0
38,108309,616,45685,13.4,0.432,1
26,39961,729,26332,15.9,0.187,0
29,120508,618,21931,12.1,0.35,1
65,54071,547,28455,12.6,0.05,1
36,101346,756,49887,11.6,0.165,1
35,72040,767,44407,14.1,0.356,0
71,57636,758,49738,0.0,0.143,0
26,20000,645,56018,0.0,0.351,1
71,64853,667,31199,2.8,0.409,1
71,23219,736,77245,7.1,0.24,1
52,99019,709,39110,10.7,0.184,1
27,115504,650,35465,10.3,0.243,1
27,46093,559,55612,15.8,0.184,0
34,79059,689,5000,16.0,0.288,1
51,48238,761,27608,1.9,0.312,1
26,51145,590,66584,9.7,0.263,1
44,93235,728,6777,2.1,0.501,0
24,68844,705,69587,6.7,0.214,1
49,122189,736,78245,10.3,0.467,1
19,55533,745,36872,0.0,0.175,1
59,99980,628,51420,24.9,0.309,1
21,72922,559,69620,12.0,0.442,1
29,93873,640,34731,3.8,0.436,1
28,56585,747,64091,21.5,0.25,1
66,68513,639,30235,5.6,0.367,1
21,66535,628,34493,8.9,0.351,1
42,44918,543,27415,4.6,0.235,1
52,89862,811,52538,19.6,0.374,1
47,89507,742,70475,7.3,0.523,1
57,87807,738,40950,9.0,0.357,0
64,116109,753,17033,16.4,0.368,0
40,113480,723,21180,12.1,0.381,0
66,58752,662,53681,7.6,0.125,1
36,81192,668,85571,15.8,0.355,1
75,51292,648,53662,25.8,0.178,1
47,70701,850,36488,10.2,0.229,0
60,52008,722,61856,8.8,0.559,0
68,118602,645,39731,9.2,0.27,1
63,80911,715,36678,17.2,0.211,0
67,63459,604,23914,3.8,0.438,1
49,105809,793,75986,6.1,0.186,1
20,20000,630,5000,0.0,0.246,1
46,20000,718,62553,0.0,0.45,0
28,93875,760,34798,4.4,0.305,1
69,71814,709,35973,7.6,0.113,0
31,77513,687,82231,20.4,0.365,1
31,30208,681,29289,11.8,0.252,0
32,69303,676,30038,1.6,0.485,1
55,130105,637,42131,2.9,0.227,1
51,94726,646,54105,17.6,0.426,0
73,75091,791,35279,15.9,0.513,0
42,56828,672,10375,8.2,0.198,1
34,58163,621,25955,4.9,0.277,1
20,20000,641,73189,15.9,0.347,1
18,77729,763,46645,1.0,0.197,1
39,95364,731,54924,10.7,0.332,0
71,22731,722,39249,23.9,0.273,1
48,50157,661,30491,9.4,0.271,0
69,35276,723,81907,2.6,0.306,1
23,41039,632,40860,10.9,0.309,0
23,71604,661,35246,4.7,0.32,1
66,20000,753,69115,0.0,0.228,1
24,88428,746,29108,12.9,0.233,0
21,92616,606,31916,15.8,0.286,1
41,62467,616,45225,5.8,0.295,1
71,20000,688,45006,5.4,0.247,1
57,40107,809,50711,1.3,0.339,1
23,106987,536,91017,7.0,0.082,1
66,20000,701,52397,4.1,0.212,1
66,59574,577,5000,0.9,0.266,1
64,34600,632,52179,21.2,0.197,1
70,94137,653,45833,11.3,0.496,0
31,49747,648,45956,12.0,0.302,1
74,82119,640,50411,14.2,0.321,0
36,86964,681,44369,13.4,0.242,0
64,125087,640,43843,5.1,0.298,1
51,63912,570,58487,9.9,0.154,1
63,81281,738,33074,6.1,0.28,0
54,25448,736,24151,11.1,0.188,0
55,105712,743,111523,10.4,0.267,1
53,47185,564,29251,5.3,0.05,0
63,53177,702,47203,0.0,0.165,0
60,69333,731,12095,9.0,0.476,1
25,23113,603,47562,6.6,0.4,1
65,76863,681,24469,0.0,0.458,1
49,99024,671,35266,11.6,0.467,0
36,78788,818,67991,14.8,0.381,1
47,22333,824,55384,25.7,0.246,0
74,66286,555,57505,5.3,0.176,1
67,92261,850,6033,4.2,0.438,0
66,20000,611,85412,0.2,0.308,1
44,37757,754,18779,9.5,0.599,1
63,96296,753,78628,9.4,0.256,0
40,78103,605,67474,2.3,0.537,1
57,82359,717,57701,6.8,0.281,1
55,125785,672,26190,0.0,0.46,0
32,84057,722,48335,14.5,0.504,1
33,89737,697,34640,2.6,0.177,1
21,151322,770,45639,7.8,0.242,0
26,63586,686,39503,0.0,0.176,1
43,46064,667,5000,3.9,0.152,1
45,82834,762,69679,6.0,0.38,1
27,83170,724,43216,7.9,0.276,0
42,54199,735,34334,11.4,0.306,1
53,39028,630,32673,18.1,0.367,1
31,139295,602,52886,13.1,0.077,1
37,79805,637,25337,14.7,0.454,1
39,48031,633,5000,18.1,0.258,0
47,97478,739,53957,12.0,0.364,1
39,66726,753,56420,7.7,0.374,1
60,62414,668,40608,15.1,0.464,1
36,86868,787,19746,15.5,0.287,1
43,31244,783,46957,12.5,0.05,1
40,80579,698,12780,0.0,0.307,0
28,127389,618,22401,2.1,0.324,0
57,83985,798,28485,6.1,0.176,0
31,58714,675,63567,13.5,0.318,0
35,54787,689,37023,7.9,0.257,1
63,57690,655,35147,16.0,0.139,0
73,62381,613,88003,17.2,0.381,1
56,58666,570,52754,16.4,0.232,0
71,97489,727,52458,16.4,0.251,1
67,20000,621,36867,0.7,0.244,1
45,95860,850,31880,11.4,0.448,0
62,58609,599,5000,3.7,0.295,1
37,81308,586,66312,0.0,0.309,1
44,36190,718,54863,6.0,0.247,1
49,109859,795,41058,17.3,0.356,1
73,107369,685,41981,11.2,0.462,1
67,98788,723,61195,22.1,0.378,1
46,24557,542,10796,9.2,0.382,1
55,94874,629,32023,25.1,0.373,1
29,82146,599,20001,9.2,0.134,1
64,21842,538,83973,8.2,0.195,1
50,69271,689,64264,0.0,0.275,1
48,80936,512,5000,15.8,0.213,1
62,86682,581,11697,4.5,0.172,1
54,75318,640,42088,3.5,0.075,1
22,78737,618,34606,17.0,0.138,1
34,114208,710,15864,16.1,0.269,1
28,106781,703,87785,15.9,0.292,1
60,20000,747,51876,5.5,0.205,1
20,60477,736,55446,7.6,0.309,1
29,65060,766,29776,7.6,0.248,0
52,20000,680,60890,13.5,0.431,1
58,72825,703,36630,18.9,0.281,1
47,107463,718,38766,10.6,0.384,0
67,37403,691,58442,21.8,0.324,1
71,80092,650,9162,14.3,0.132,1
25,42525,655,80135,6.4,0.289,1
73,49843,619,49013,13.8,0.152,1
53,114322,712,73181,19.9,0.287,1
54,53723,673,21341,22.0,0.211,1
23,83866,630,24690,16.3,0.346,1
54,20000,630,19438,8.2,0.139,1
60,125870,589,50507,6.5,0.302,1
51,88080,753,46452,12.0,0.369,1
22,64525,686,34783,19.7,0.409,1
48,87266,615,22690,11.0,0.208,0
72,27705,741,17135,11.2,0.302,1
59,105476,638,43933,8.4,0.322,1
25,60280,575,34757,5.7,0.486,1
73,63878,757,29917,6.9,0.122,1
73,55250,640,79036,8.9,0.191,1
27,52580,649,43189,20.0,0.637,1
64,90840,683,72941,6.3,0.267,1
41,77677,766,33268,8.4,0.073,0
52,89552,682,50385,1.9,0.23,0
43,69736,590,43780,13.0,0.05,1
63,85396,721,7652,17.6,0.329,0
75,57435,644,76423,19.4,0.397,1
64,136892,822,42027,9.4,0.191,0
72,22962,680,61421,12.0,0.244,1
72,107828,512,28455,6.9,0.411,1
23,111037,707,41373,11.7,0.09,0
32,44435,826,25929,10.2,0.141,0
